semana_epi,edad_65_mas
2025-07-27,10883
2025-08-03,12299
2025-08-10,13234
2025-08-17,12028
2025-08-24,12780
2025-08-31,12516
2025-09-07,13774
2025-09-14,14505
2025-09-21,15966
2025-09-28,14136
2025-10-05,13192
2025-10-12,13347
2025-10-19,13464
2025-10-26,14224
2025-11-02,14090
2025-11-09,13629
2025-11-16,12387
2025-11-23,11901
2025-11-30,11084
2025-12-07,11034
2025-12-14,10329
2025-12-21,10027
2025-12-28,5549
