semana_epi,casos_total
2023-04-02,104268
2023-04-09,112541
2023-04-16,124263
2023-04-23,139010
2023-04-30,159489
2023-05-07,172501
2023-05-14,189297
2023-05-21,180953
2023-05-28,172996
2023-06-04,152101
2023-06-11,135528
2023-06-18,111927
2023-06-25,93403
2023-07-02,75663
2023-07-09,67235
2023-07-16,69580
2023-07-23,79770
2023-07-30,94281
2023-08-06,111892
2023-08-13,115571
2023-08-20,103875
2023-08-27,107101
2023-09-03,112832
2023-09-10,116875
2023-09-17,132660
2023-09-24,134980
2023-10-01,131936
2023-10-08,144264
2023-10-15,141503
2023-10-22,133605
2023-10-29,125307
2023-11-05,119211
2023-11-12,120122
2023-11-19,115798
2023-11-26,106908
2023-12-03,102404
2023-12-10,91826
2023-12-17,83669
2023-12-24,77774
2023-12-31,65156
2024-01-07,58405
2024-01-14,53295
2024-01-21,50942
2024-01-28,49679
2024-02-04,53396
2024-02-11,54335
2024-02-18,55207
2024-02-25,55612
2024-03-03,60987
2024-03-10,97459
2024-03-17,128021
2024-03-24,104311
2024-03-31,102746
2024-04-07,106439
2024-04-14,124290
2024-04-21,143265
2024-04-28,160957
2024-05-05,171509
2024-05-12,203353
2024-05-19,188234
2024-05-26,145518
2024-06-02,125438
2024-06-09,97910
2024-06-16,78571
2024-06-23,70981
2024-06-30,63949
2024-07-07,67356
2024-07-14,84371
2024-07-21,104963
2024-07-28,115499
2024-08-04,119064
2024-08-11,124938
2024-08-18,130907
2024-08-25,127521
2024-09-01,127900
2024-09-08,127925
2024-09-15,121800
2024-09-22,126500
2024-09-29,115257
2024-10-06,121317
2024-10-13,126642
2024-10-20,125028
2024-10-27,120043
2024-11-03,117849
2024-11-10,114917
2024-11-17,118730
2024-11-24,120315
2024-12-01,122370
2024-12-08,107322
2024-12-15,88580
2024-12-22,75340
2024-12-29,63131
2025-01-05,52050
2025-01-12,43429
2025-01-19,40140
2025-01-26,37134
2025-02-02,36599
2025-02-09,37342
2025-02-16,41010
2025-02-23,40773
2025-03-02,46095
2025-03-09,78022
2025-03-16,120203
2025-03-23,115982
2025-03-30,102459
2025-04-06,102721
2025-04-13,111514
2025-04-20,120023
2025-04-27,125210
2025-05-04,126079
2025-05-11,131529
2025-05-18,139705
2025-05-25,127223
2025-06-01,129718
2025-06-08,126322
2025-06-15,111732
2025-06-22,98038
2025-06-29,81891
2025-07-06,77500
2025-07-13,88542
2025-07-20,107500
2025-07-27,111292
2025-08-03,120338
2025-08-10,126563
2025-08-17,121995
2025-08-24,120728
2025-08-31,119267
2025-09-07,124873
2025-09-14,114374
2025-09-21,121544
2025-09-28,113234
2025-10-05,123198
2025-10-12,127831
2025-10-19,131703
2025-10-26,129832
2025-11-02,128065
2025-11-09,123511
2025-11-16,115717
2025-11-23,102872
2025-11-30,93904
2025-12-07,84066
2025-12-14,76742
2025-12-21,69387
2025-12-28,36326
